project,pkg_name,syscall,path,type
bazel-bsp,ca-certificates,read,/usr/share/ca-certificates/mozilla/AC_RAIZ_FNMT-RCM.crt,top
bazel-bsp,openjdk-17-jre-headless,read,/etc/java-17-openjdk/security/java.policy,top
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/sstream,transitive
bazel-bsp,git,openat,/usr/share/git-core/templates/hooks/post-update.sample,top
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/bits/stl_tempbuf.h,transitive
bazel-bsp,libgcc-10-dev,openat,/usr/lib/gcc/x86_64-linux-gnu/10/crtendS.o,transitive
bazel-bsp,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/include/linux/jawt_md.h,top
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/bits/stl_set.h,transitive
bazel-bsp,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/siginfo-arch.h,transitive
bazel-bsp,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libsyslookup.so,top
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/bits/locale_conv.h,transitive
bazel-bsp,ca-certificates,read,/usr/share/ca-certificates/mozilla/Hongkong_Post_Root_CA_1.crt,top
bazel-bsp,openjdk-17-jre-headless,openat,/etc/java-17-openjdk/net.properties,top
bazel-bsp,libpython3.9-stdlib,read,/usr/lib/python3.9/lib-dynload/_bz2.cpython-39-x86_64-linux-gnu.so,transitive
bazel-bsp,libc6-dev,openat,/usr/include/x86_64-linux-gnu/sys/cdefs.h,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/tuple,transitive
bazel-bsp,git,read,/usr/share/git-core/templates/hooks/fsmonitor-watchman.sample,top
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/bits/ranges_uninitialized.h,transitive
bazel-bsp,libstdc++-10-dev,read,/usr/include/x86_64-linux-gnu/c++/10/bits/atomic_word.h,transitive
